Left,ShoulderPos:(0.09, 0.20, -0.34),Plane:XZ,Radius:0.25
1.20667,1,normal,0.00367,0.00270,-0.00046,
1.21494,1,normal,0.00368,0.00271,-0.00046,
1.22281,1,normal,0.00377,0.00279,-0.00093,
1.23059,1,normal,0.00385,0.00283,-0.00096,
1.23889,1,normal,0.00379,0.00253,-0.00153,
1.24619,1,normal,0.00387,0.00255,-0.00158,
1.25427,1,normal,0.00388,0.00255,-0.00158,
1.26175,1,normal,0.00388,0.00185,-0.00227,
1.26971,1,normal,0.00414,0.00140,-0.00306,
1.29276,1,normal,0.00425,0.00144,-0.00312,
1.30075,1,normal,0.00454,0.00119,-0.00441,
1.30954,1,normal,0.00467,0.00129,-0.00452,
1.31790,1,normal,0.00497,0.00105,-0.00497,
1.32697,1,normal,0.00503,0.00107,-0.00500,
1.33518,1,normal,0.00504,0.00107,-0.00500,
1.34299,1,normal,0.00532,0.00104,-0.00602,
1.35059,1,normal,0.00543,0.00113,-0.00611,
1.35992,1,normal,0.00557,0.00128,-0.00724,
1.36871,1,normal,0.00569,0.00138,-0.00734,
1.37705,1,normal,0.00580,0.00164,-0.00835,
1.38550,1,normal,0.00592,0.00174,-0.00843,
1.39380,1,normal,0.00594,0.00176,-0.00844,
1.40225,1,normal,0.00563,0.00188,-0.00948,
1.41007,1,normal,0.00573,0.00195,-0.00956,
1.41788,1,normal,0.00566,0.00191,-0.01048,
1.42572,1,normal,0.00529,0.00176,-0.01163,
1.44931,1,normal,0.00525,0.00173,-0.01283,
1.47842,1,normal,0.00518,0.00147,-0.01455,
1.50082,1,normal,0.00431,0.00045,-0.01592,
1.52249,1,normal,0.00426,0.00022,-0.01662,
1.53049,1,normal,0.00432,0.00026,-0.01668,
1.53879,1,normal,0.00414,0.00000,-0.01793,
1.54657,1,normal,0.00423,0.00008,-0.01805,
1.55475,1,normal,0.00425,0.00010,-0.01806,
1.56235,1,normal,0.00383,-0.00031,-0.01928,
1.57022,1,normal,0.00390,-0.00024,-0.01939,
1.57999,1,normal,0.00325,-0.00062,-0.02105,
1.60312,1,normal,0.00300,-0.00077,-0.02269,
1.62424,1,normal,0.00258,-0.00110,-0.02394,
1.64700,1,normal,0.00243,-0.00136,-0.02466,
1.66815,1,normal,0.00248,-0.00133,-0.02472,
1.67609,1,normal,0.00200,-0.00177,-0.02633,
1.68524,1,normal,0.00210,-0.00168,-0.02648,
1.69312,1,normal,0.00212,-0.00166,-0.02649,
1.70151,1,normal,0.00169,-0.00202,-0.02752,
1.70932,1,normal,0.00175,-0.00197,-0.02762,
1.71835,1,normal,0.00150,-0.00228,-0.02863,
1.72601,1,normal,0.00157,-0.00223,-0.02872,
1.73389,1,normal,0.00111,-0.00274,-0.03037,
1.75537,1,normal,0.00086,-0.00288,-0.03112,
1.77753,1,normal,0.00065,-0.00329,-0.03294,
1.80072,1,normal,0.00049,-0.00341,-0.03433,
1.82288,1,normal,0.00053,-0.00344,-0.03509,
1.83060,1,normal,0.00060,-0.00338,-0.03516,
1.83978,1,normal,0.00043,-0.00373,-0.03670,
1.84882,1,normal,0.00051,-0.00363,-0.03684,
1.85736,1,normal,0.00061,-0.00361,-0.03684,
1.86505,1,normal,0.00062,-0.00360,-0.03684,
1.87378,1,normal,0.00062,-0.00360,-0.03684,
1.88092,1,normal,0.00007,-0.00417,-0.03998,
1.88867,1,normal,-0.00020,-0.00451,-0.04163,
1.91043,1,normal,-0.00091,-0.00494,-0.04383,
1.93240,1,normal,-0.00125,-0.00501,-0.04476,
1.95435,1,normal,-0.00202,-0.00521,-0.04717,
1.97583,1,normal,-0.00187,-0.00504,-0.04737,
1.98419,1,normal,-0.00234,-0.00509,-0.04893,
1.99258,1,normal,-0.00225,-0.00498,-0.04907,
2.00070,1,normal,-0.00239,-0.00466,-0.04913,
2.00845,1,normal,-0.00240,-0.00463,-0.04913,
2.01724,1,normal,-0.00335,-0.00462,-0.05127,
2.03156,1,normal,-0.00325,-0.00446,-0.05147,
2.04392,1,normal,-0.00447,-0.00435,-0.05397,
2.07077,1,normal,-0.00479,-0.00374,-0.05559,
2.09354,1,normal,-0.00514,-0.00350,-0.05710,
2.11740,1,normal,-0.00551,-0.00374,-0.05843,
2.13995,1,normal,-0.00579,-0.00374,-0.05982,
2.14783,1,normal,-0.00570,-0.00363,-0.05995,
2.15595,1,normal,-0.00569,-0.00361,-0.05996,
