Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
1.51443,1,normal,0.00000,0.00000,-0.18097,
1.51772,1,normal,0.00000,0.00000,-0.18097,
1.52096,1,normal,0.00000,0.00000,-0.18097,
1.52422,1,normal,0.00000,0.00000,-0.18097,
1.52786,1,normal,0.00000,0.00000,-0.18097,
1.53111,1,normal,0.00000,0.00000,-0.18097,
1.53434,1,normal,0.00000,0.00000,-0.18097,
1.53777,1,normal,0.00000,0.00000,-0.18097,
1.54103,1,normal,0.00000,0.00000,-0.18097,
1.54449,1,normal,0.00000,0.00000,-0.18097,
1.54840,1,normal,0.00000,0.00000,-0.18097,
1.55162,1,normal,0.00000,0.00000,-0.18097,
1.55471,1,normal,0.00000,0.00000,-0.18097,
1.55791,1,normal,0.00000,0.00000,-0.18097,
1.56133,1,normal,0.00000,0.00000,-0.18097,
1.56453,1,normal,0.00000,0.00000,-0.18097,
1.56852,1,normal,0.00000,0.00000,-0.18097,
1.57177,1,normal,0.00000,0.00000,-0.18097,
1.57515,1,normal,0.00000,0.00000,-0.18097,
1.57832,1,normal,0.00000,0.00000,-0.18097,
1.58150,1,normal,0.00000,0.00000,-0.18097,
1.58472,1,normal,0.00000,0.00000,-0.18097,
1.58836,1,normal,0.00000,0.00000,-0.18097,
1.59168,1,normal,0.00000,0.00000,-0.18097,
1.59493,1,normal,0.00000,0.00000,-0.18097,
1.59821,1,normal,0.00000,0.00000,-0.18097,
1.60143,1,normal,0.00000,0.00000,-0.18097,
1.60471,1,normal,0.00000,0.00000,-0.18097,
1.60831,1,normal,0.00000,0.00000,-0.18097,
1.61155,1,normal,0.00000,0.00000,-0.18097,
1.61472,1,normal,0.00000,0.00000,-0.18097,
1.61803,1,normal,0.00000,0.00000,-0.18097,
1.62130,1,normal,0.00000,0.00000,-0.18097,
1.62473,1,normal,0.00000,0.00000,-0.18097,
1.62865,1,normal,0.00000,0.00000,-0.18097,
1.63190,1,normal,0.00000,0.00000,-0.18097,
1.63514,1,normal,0.00000,0.00000,-0.18097,
1.63837,1,normal,0.00000,0.00000,-0.18097,
1.64159,1,normal,0.00000,0.00000,-0.18097,
1.64470,1,normal,0.00000,0.00000,-0.18097,
1.64843,1,normal,0.00000,0.00000,-0.18097,
1.65159,1,normal,0.00000,0.00000,-0.18097,
1.65480,1,normal,0.00000,0.00000,-0.18097,
1.65789,1,normal,0.00000,0.00000,-0.18097,
1.66114,1,normal,0.00000,0.00000,-0.18097,
1.66432,1,normal,0.00000,0.00000,-0.18097,
1.66802,1,normal,0.00000,0.00000,-0.18097,
1.67110,1,normal,0.00000,0.00000,-0.18097,
1.67425,1,normal,0.00000,0.00000,-0.18097,
1.68496,1,normal,0.00000,0.00000,-0.18097,
1.68930,1,normal,0.00000,0.00000,-0.18097,
1.69289,1,normal,0.00000,0.00000,-0.18097,
1.69929,1,normal,0.00000,0.00000,-0.18097,
1.70322,1,normal,0.00000,0.00000,-0.18097,
1.70711,1,normal,0.00000,0.00000,-0.18097,
1.71126,1,normal,0.00000,0.00000,-0.18097,
1.71460,1,normal,0.00000,0.00000,-0.18097,
1.71801,1,normal,0.00000,0.00000,-0.18097,
1.72167,1,normal,0.00000,0.00000,-0.18097,
1.72531,1,normal,0.00000,0.00000,-0.18097,
1.72940,1,normal,0.00000,0.00000,-0.18097,
1.73317,1,normal,0.00000,0.00000,-0.18097,
1.73683,1,normal,0.00000,0.00000,-0.18097,
1.74042,1,normal,0.00000,0.00000,-0.18097,
1.74378,1,normal,0.00000,0.00000,-0.18097,
1.74785,1,normal,0.00000,0.00000,-0.18510,
1.75198,1,normal,0.00000,0.00000,-0.18912,
1.75600,1,normal,0.00000,0.00000,-0.19313,
1.76001,1,normal,0.00000,0.00000,-0.19703,
1.76391,1,normal,0.00000,0.00000,-0.20155,
1.76843,1,normal,0.00000,0.00000,-0.20547,
1.77235,1,normal,0.00000,0.00000,-0.20945,
1.77633,1,normal,0.00000,0.00000,-0.21338,
1.78026,1,normal,0.00000,0.00000,-0.21725,
1.78413,1,normal,0.00000,0.00000,-0.22167,
1.78855,1,normal,0.00000,0.00000,-0.22627,
1.79315,1,normal,0.00000,0.00000,-0.23023,
1.79711,1,normal,0.00000,0.00000,-0.23455,
1.80143,1,normal,0.00000,0.00000,-0.23847,
1.80535,1,normal,0.00000,0.00000,-0.24274,
1.80962,1,normal,0.00000,0.00000,-0.24650,
1.81338,1,normal,0.00000,0.00000,-0.25027,
1.81715,1,normal,0.00000,0.00000,-0.25423,
1.82111,1,normal,0.00000,0.00000,-0.25805,
1.82493,1,normal,0.00000,0.00000,-0.26252,
1.82940,1,normal,0.00000,0.00000,-0.26252,
1.83349,1,normal,0.00000,0.00000,-0.26252,
1.83713,1,normal,0.00000,0.00000,-0.26252,
1.84055,1,normal,0.00000,0.00000,-0.26252,
1.84457,1,normal,0.00000,0.00000,-0.26252,
1.84903,1,normal,0.00000,0.00000,-0.26252,
1.85299,1,normal,0.00000,0.00000,-0.26252,
1.85673,1,normal,0.00000,0.00000,-0.26252,
1.86052,1,normal,0.00000,0.00000,-0.26252,
1.86405,1,normal,0.00000,0.00000,-0.26252,
1.86792,1,normal,0.00000,0.00000,-0.26252,
1.87133,1,normal,0.00000,0.00000,-0.26252,
1.87484,1,normal,0.00000,0.00000,-0.26252,
1.87816,1,normal,0.00000,0.00000,-0.26252,
1.88153,1,normal,0.00000,0.00000,-0.26252,
1.88472,1,normal,0.00000,0.00000,-0.26252,
1.88856,1,normal,0.00000,0.00000,-0.26252,
1.89192,1,normal,0.00000,0.00000,-0.26252,
