Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.87975,1,normal,0.00000,0.00000,0.00000,
0.88138,1,normal,0.00000,0.00000,0.00000,
0.88305,1,normal,0.00000,0.00000,0.00000,
0.88465,1,normal,0.00000,0.00000,0.00000,
0.88626,1,normal,0.00000,0.00000,0.00000,
0.88794,1,normal,0.00000,0.00000,0.00000,
0.88967,1,normal,0.00000,0.00000,0.00000,
0.89166,1,normal,0.00000,0.00000,0.00000,
0.89325,1,normal,0.00000,0.00000,0.00000,
0.89495,1,normal,0.00000,0.00000,0.00000,
0.89665,1,normal,0.00000,0.00000,0.00000,
0.89834,1,normal,0.00000,0.00000,0.00000,
0.89997,1,normal,0.00000,0.00000,0.00000,
0.90165,1,normal,0.00000,0.00000,0.00000,
0.90336,1,normal,0.00000,0.00000,0.00000,
0.90505,1,normal,0.00000,0.00000,0.00000,
0.90674,1,normal,0.00000,0.00000,0.00000,
0.90835,1,normal,0.00000,0.00000,0.00000,
0.91036,1,normal,0.00000,0.00000,0.00000,
0.91195,1,normal,0.00000,0.00000,0.00000,
0.91354,1,normal,0.00000,0.00000,0.00000,
0.91521,1,normal,0.00000,0.00000,0.00000,
0.91695,1,normal,0.00000,0.00000,0.00000,
0.91864,1,normal,0.00000,0.00000,0.00000,
0.92046,1,normal,0.00000,0.00000,0.00000,
0.92223,1,normal,0.00000,0.00000,0.00000,
0.92405,1,normal,0.00000,0.00000,0.00000,
0.92576,1,normal,0.00000,0.00000,0.00000,
0.92745,1,normal,0.00000,0.00000,0.00000,
0.92916,1,normal,0.00000,0.00000,0.00000,
0.93116,1,normal,0.00000,0.00000,0.00000,
0.93285,1,normal,0.00000,0.00000,0.00000,
0.93475,1,normal,0.00000,0.00000,0.00000,
0.93655,1,normal,0.00000,0.00000,0.00000,
0.93835,1,normal,0.00000,0.00000,0.00000,
0.94004,1,normal,0.00000,0.00000,0.00000,
0.94177,1,normal,0.00000,0.00000,0.00000,
0.94345,1,normal,0.00000,0.00000,0.00000,
0.94505,1,normal,0.00000,0.00000,0.00000,
0.94664,1,normal,0.00000,0.00000,0.00000,
0.95191,1,normal,0.00000,0.00000,0.00000,
0.95387,1,normal,0.00000,0.00000,0.00000,
0.95554,1,normal,0.00000,0.00000,0.00000,
0.95725,1,normal,0.00000,0.00000,0.00000,
0.95901,1,normal,0.00000,0.00000,0.00000,
0.96065,1,normal,0.00000,0.00000,0.00000,
0.96238,1,normal,0.00000,0.00000,0.00000,
0.96416,1,normal,0.00000,0.00000,0.00000,
0.96586,1,normal,0.00000,0.00000,0.00000,
0.96755,1,normal,0.00000,0.00000,0.00000,
0.96914,1,normal,0.00000,0.00000,0.00000,
0.97105,1,normal,0.00000,0.00000,0.00000,
0.97268,1,normal,0.00000,0.00000,0.00000,
0.97445,1,normal,0.00000,0.00000,0.00000,
0.97616,1,normal,0.00000,0.00000,0.00000,
0.97785,1,normal,0.00000,0.00000,0.00000,
0.97944,1,normal,0.00000,0.00000,0.00000,
0.98114,1,normal,0.00000,0.00000,0.00000,
0.98287,1,normal,0.00000,0.00000,0.00000,
0.98455,1,normal,0.00000,0.00000,0.00000,
0.98637,1,normal,0.00000,0.00000,0.00000,
0.98815,1,normal,0.00000,0.00000,0.00000,
0.99005,1,normal,0.00000,0.00000,0.00000,
0.99176,1,normal,0.00000,0.00000,0.00000,
0.99347,1,normal,0.00000,0.00000,0.00000,
0.99504,1,normal,0.00000,0.00000,0.00000,
0.99665,1,normal,0.00000,0.00000,0.00000,
0.99834,1,normal,0.00000,0.00000,0.00000,
1.00004,1,normal,0.00000,0.00000,0.00000,
1.00175,1,normal,0.00000,0.00000,0.00000,
1.00335,1,normal,0.00000,0.00000,0.00000,
1.00507,1,normal,0.00000,0.00000,0.00000,
